"Date","Price","Open","High","Low","Vol.","Change %"
"Feb 21","20.94","17.25","22.44","16.33","893.17M","21.96%"
"Jan 21","17.17","15.85","21.77","14.71","1.44B","8.88%"
"Dec 20","15.77","14.42","18.63","13.85","1.86B","11.61%"
"Nov 20","14.13","11.32","15.56","10.87","1.70B","25.27%"
"Oct 20","11.28","12.45","13.68","10.63","1.35B","-8.22%"
"Sep 20","12.29","12.86","14.16","11.22","1.20B","-5.82%"
"Aug 20","13.05","11.07","15.10","10.71","1.50B","17.36%"
"Jul 20","11.12","13.48","14.29","10.80","1.63B","-14.92%"
"Jun 20","13.07","10.79","22.80","10.62","3.10B","24.48%"
"May 20","10.50","11.41","12.55","8.25","1.38B","-12.57%"
"Apr 20","12.01","11.45","13.40","9.09","1.75B","-1.48%"
"Mar 20","12.19","19.05","19.79","10.01","1.30B","-36.01%"
"Feb 20","19.05","26.93","30.78","18.77","263.01M","-29.02%"
