,Date,Price,Open,High,Low,Vol.,Change %
0,Feb 21,"30,932.37","30,054.73","32,009.64","30,014.97",6.77B,3.17%
1,Jan 21,"29,982.62","30,627.47","31,272.22","29,856.30",8.22B,-2.04%
2,Dec 20,"30,606.48","29,797.50","30,637.47","29,599.29",8.18B,3.27%
3,Nov 20,"29,638.64","26,691.28","30,116.51","26,691.28",7.92B,11.84%
4,Oct 20,"26,501.60","27,940.63","28,957.90","26,143.77",8.51B,-4.61%
5,Sep 20,"27,781.70","28,439.61","29,199.35","26,537.01",10.05B,-2.28%
6,Aug 20,"28,430.05","26,542.32","28,733.35","26,534.38",7.51B,7.57%
7,Jul 20,"26,428.32","25,879.38","27,071.33","25,523.51",8.27B,2.38%
8,Jun 20,"25,812.88","25,342.99","27,580.21","24,843.18",9.82B,1.69%
9,May 20,"25,383.11","24,120.78","25,758.79","22,789.62",8.01B,4.26%
10,Apr 20,"24,345.72","21,227.38","24,764.77","20,735.02",9.88B,11.08%
11,Mar 20,"21,917.16","25,590.51","27,102.34","18,213.65",15.60B,-13.74%
12,Feb 20,"25,409.36","28,319.65","29,568.57","24,681.01",7.05B,-10.07%
