"Date","Price","Open","High","Low","Vol.","Change %"
"Feb 21","93.27","65.95","99.24","64.66","109.25M","43.49%"
"Jan 21","65.00","74.80","76.53","64.26","75.80M","-12.97%"
"Dec 20","74.69","80.00","85.10","68.57","107.66M","-5.23%"
"Nov 20","78.81","55.00","82.59","53.85","143.76M","39.68%"
"Oct 20","56.42","65.15","72.11","51.33","178.07M","-12.84%"
"Sep 20","64.73","66.99","74.44","58.27","144.83M","-5.97%"
"Aug 20","68.84","47.58","71.55","45.71","207.97M","41.33%"
"Jul 20","48.71","51.99","58.68","46.13","264.59M","-3.16%"
"Jun 20","50.30","52.00","75.55","45.06","536.78M","-3.03%"
"May 20","51.87","43.13","55.32","31.41","410.24M","10.90%"
"Apr 20","46.77","30.30","48.60","22.25","547.55M","45.38%"
"Mar 20","32.17","81.50","81.94","19.25","494.69M","-59.99%"
"Feb 20","80.41","116.36","122.10","70.50","91.67M","-31.32%"
