keyword_id,keyword
0,활약
1,해결
2,정의
3,움직임
4,권선징악
5,웃음
6,과장
7,개그
8,풍자
9,병맛
10,기록
11,논픽션
12,사실
13,자연
14,사회
15,가상
16,의문
17,비리얼리즘
18,호러
19,좀비
20,유령
21,두려움
22,놀람
23,노래
24,뮤지컬
25,연주
26,뮤지션
27,보컬
28,사랑
29,치정
30,로맨틱
31,연애
32,남녀
33,선수
34,경기
35,코치
36,기록
37,올림픽
38,미국
39,개척사
40,총잡이
41,스페인
42,독일
43,영국
44,그리스
45,프랑스
46,극장판
47,캐릭터
48,만화
49,디즈니
50,더빙
51,범죄자
52,사건
53,형사
54,신문
55,교도소
56,정서
57,사실
58,고려
59,전투
60,부대
61,소련
62,오락
63,건전
64,아이들
65,대결
66,게임
67,추적
68,살인마
69,비밀리
70,과학
71,외계
72,우주
73,인류
74,인공지능
75,현대
76,중세
77,나치
78,임무
79,암호
80,리얼리티
81,시리즈
82,일반
