id,title,type,original_title,idx
0,모가디슈,Movie,,192150
1,베놈,Movie,Venom,119428
2,스파이더맨,Movie,Spider-Man,31307
3,스파이더맨: 뉴 유니버스,Movie,Spider-Man: Into the Spider-Verse,171725
4,스파이더맨: 홈커밍,Movie,Spider-Man: Homecoming,135874
5,파워 오브 도그,Movie,The Power of the Dog,193857
6,돈 룩 업,Movie,Don't Look Up,192614
7,스파이더맨: 파 프롬 홈,Movie,Spider-Man: Far From Home,173123
8,어메이징 스파이더맨,Movie,The Amazing Spider-Man,66823
9,더 플랫폼,Movie,The Platform,188790
10,인질,Movie,,185614
11,스파이더맨 2,Movie,Spider-Man 2,35071
12,프라미싱 영 우먼,Movie,Promising Young Woman,191917
13,어메이징 스파이더맨 2,Movie,The Amazing Spider-Man 2,94187
14,"틱, 틱... 붐!",Movie,"tick, tick… BOOM!",210808
16,레이니 데이 인 뉴욕,Movie,A Rainy Day in New York,152691
18,기적,Movie,,199860
26,언포기버블,Movie,The Unforgivable,210807
27,아이 씨 유,Movie,I See You,186586
28,스파이더맨 3,Movie,Spider-Man 3,43157
29,스노우 화이트,Movie,Blanche comme neige,184726
32,쇼생크 탈출,Movie,The Shawshank Redemption,17421
34,캐롤,Movie,Carol,101962
35,장고: 분노의 추적자,Movie,Django Unchained,87311
36,가려진 시간,Movie,,141259
37,이터널 선샤인,Movie,Eternal Sunshine of the Spotless Mind,38444
38,라라랜드,Movie,La La Land,134963
39,애비규환,Movie,,198430
46,크루즈 패밀리: 뉴 에이지,Movie,The Croods: A New Age,107992
47,그녀,Movie,Her,101950
48,그래비티,Movie,Gravity,47370
49,50가지 그림자: 해방,Movie,Fifty Shades Freed,154598
50,랑종,Movie,ร่างทรง,204496
51,비바리움,Movie,Vivarium,187294
52,칠드런 액트,Movie,The Children Act,162294
54,용쟁호투,Movie,Enter the Dragon,10182
59,로맨틱 홀리데이,Movie,The Holiday,64126
60,에이리언: 커버넌트,Movie,Alien: Covenant,99715
62,아이 필 프리티,Movie,,168017
65,미드 90,Movie,mid90s,163786
66,서치,Movie,Searching,172425
67,레드 노티스,Movie,Red Notice,191543
71,위대한 개츠비,Movie,The Great Gatsby,88461
74,셔터 아일랜드,Movie,Shutter Island,69689
75,처음 만나는 자유,Movie,"Girl, Interrupted",28795
76,디스트릭트 9,Movie,District 9,64129
77,와일드라이프,Movie,,154257
79,싱크홀,Movie,,188472
82,인디아나 존스: 레이더스,Movie,Raiders of the Lost Ark,10033
83,인생은 아름다워,Movie,La vita è bella,22126
84,악인전,Movie,,177967
87,원스 어폰 어 타임 인… 할리우드,Movie,Once Upon a Time… in Hollywood,172836
89,노팅 힐,Movie,Notting Hill,24830
90,예스맨,Movie,Yes Man,45944
91,올 더 머니,Movie,All the Money in the World,163842
92,찰리와 초콜릿 공장,Movie,Charlie and the Chocolate Factory,39846
94,더 길티,Movie,The Guilty,207888
95,점퍼,Movie,,64994
96,레미제라블,Movie,Les Misérables,191469
97,동주,Movie,,134899
98,잭 리처,Movie,Jack Reacher,90834
99,아가씨,Movie,,123519
106,핵소 고지,Movie,,142305
107,빅 쇼트,Movie,The Big Short,136842
108,그것만이 내 세상,Movie,,158180
110,범죄도시,Movie,,161242
112,클라우스,Movie,Klaus,191613
113,매드 맥스: 분노의 도로,Movie,Mad Max: Fury Road,77768
115,인비저블 게스트,Movie,Contratiempo,159516
116,패딩턴,Movie,Paddington,146489
117,더 킹: 헨리 5세,Movie,The King,187526
118,기생충,Movie,,161967
119,남한산성,Movie,,150637
120,헤이트풀8,Movie,,124238
121,어바웃 타임,Movie,About Time,92075
122,고스트 버스터즈,Movie,Ghostbusters,182578
123,암수살인,Movie,,167105
124,극한직업,Movie,,167651
127,이미테이션 게임,Movie,The Imitation Game,113348
128,퍼시픽 림,Movie,Pacific Rim,86867
129,수퍼 소닉,Movie,Sonic the Hedgehog,172816
130,극장판 포켓몬스터: 뮤츠의 역습 EVOLUTION,Movie,劇場版 ポケットモンスター ミュウツーの逆襲 EVOLUTION,187305
131,엑스 마키나,Movie,Ex Machina,118361
135,다마카: 더 테러 라이브,Movie,धमाका,211939
137,포레스트 검프,Movie,Forrest Gump,17159
138,나를 찾아줘,Movie,Gone Girl,116234
140,맘마 미아!,Movie,Mamma Mia!,66381
141,추격자,Movie,,68695
142,올드보이,Movie,,36944
143,혼자 사는 사람들,Movie,,201863
144,원초적 본능,Movie,Basic Instinct,10742
148,그레이의 50가지 그림자,Movie,Fifty Shades of Grey,115303
149,해바라기,Movie,,44529
150,The Witcher: Nightmare of the Wolf,Movie,,208086
152,클래식,Movie,,35939
153,기억의 밤,Movie,,160399
154,낙원의 밤,Movie,,189050
156,라이언 일병 구하기,Movie,Saving Private Ryan,18988
157,바이스,Movie,,168045
158,캐치 미 이프 유 캔,Movie,,34522
159,터미네이터 2: 심판의 날,Movie,Terminator 2: Judgment Day,10200
163,판의 미로: 오필리아와 세개의 열쇠,Movie,El laberinto del fauno,49336
166,승리호,Movie,,186342
168,1987,Movie,,158191
171,트와일라잇,Movie,Twilight,47229
175,세 얼간이,Movie,3 Idiots,73372
183,이스케이프 룸,Movie,Escape Room,180425
188,수어사이드 스쿼드,Movie,Suicide Squad,126032
189,메멘토,Movie,Memento,31940
190,리틀 포레스트,Movie,,154449
192,디파티드,Movie,The Departed,41672
193,미드나잇 인 파리,Movie,Midnight in Paris,74610
194,센과 치히로의 행방불명,Movie,千と千尋の神隠し,32686
201,빽 투 더 퓨쳐,Movie,Back to the Future,10002
203,너의 이름은.,Movie,君の名は。,150198
209,공각기동대 : 고스트 인 더 쉘,Movie,Ghost in the Shell,134838
210,배트맨 비긴즈,Movie,Batman Begins,37439
214,쥬라기 월드,Movie,Jurassic World,67786
219,부산행,Movie,,130966
221,귀멸의 칼날 극장판 무한열차편,Movie,劇場版「鬼滅の刃」無限列車編,196051
226,맨 인 블랙 3,Movie,Men in Black 3,75173
227,먼 훗날 우리,Movie,后来的我们,175092
228,베이비 드라이버,Movie,Baby Driver,143402
229,쥬만지: 새로운 세계,Movie,Jumanji: Welcome to the Jungle,152656
232,트랜스포머: 사라진 시대,Movie,Transformers: Age of Extinction,100691
237,헝거게임: 판엠의 불꽃,Movie,The Hunger Games,79312
243,나우 유 씨 미 2,Movie,Now You See Me 2,113344
245,맨 인 블랙,Movie,Men in Black,18153
249,마이너리티 리포트,Movie,Minority Report,31788
250,스타 트렉: 더 비기닝,Movie,Star Trek,62789
256,섹스 앤 더 시티,Movie,Sex and the City,44923
258,쥬라기 공원,Movie,Jurassic Park,13500
30,노트북,Movie,The Notebook,38899
33,러브 액츄얼리,Movie,Love Actually,36843
63,인터스텔라,Movie,Interstellar,45290
81,세븐틴 어게인,Movie,17 Again,52517
86,하프 브라더스,Movie,Half Brothers,200587
88,마스터 클렌즈,Movie,The Cleanse,127392
101,노인을 위한 나라는 없다,Movie,No Country for Old Men,66751
111,거인,Movie,,117061
