,id,title,type,original_title,idx
0,0,모가디슈,Movie,,192150
1,1,베놈,Movie,Venom,119428
2,2,스파이더맨,Movie,Spider-Man,31307
3,3,스파이더맨: 뉴 유니버스,Movie,Spider-Man: Into the Spider-Verse,171725
4,4,스파이더맨: 홈커밍,Movie,Spider-Man: Homecoming,135874
5,5,파워 오브 도그,Movie,The Power of the Dog,193857
6,6,돈 룩 업,Movie,Don't Look Up,192614
7,7,스파이더맨: 파 프롬 홈,Movie,Spider-Man: Far From Home,173123
8,8,어메이징 스파이더맨,Movie,The Amazing Spider-Man,66823
9,9,더 플랫폼,Movie,The Platform,188790
10,10,인질,Movie,,185614
11,11,스파이더맨 2,Movie,Spider-Man 2,35071
12,12,프라미싱 영 우먼,Movie,Promising Young Woman,191917
13,13,어메이징 스파이더맨 2,Movie,The Amazing Spider-Man 2,94187
14,14,"틱, 틱... 붐!",Movie,"tick, tick… BOOM!",210808
15,16,레이니 데이 인 뉴욕,Movie,A Rainy Day in New York,152691
16,18,기적,Movie,,199860
17,26,언포기버블,Movie,The Unforgivable,210807
18,27,아이 씨 유,Movie,I See You,186586
19,28,스파이더맨 3,Movie,Spider-Man 3,43157
20,29,스노우 화이트,Movie,Blanche comme neige,184726
21,30,노트북,Movie,The Notebook,70826
22,32,쇼생크 탈출,Movie,The Shawshank Redemption,17421
23,33,러브 액츄얼리,Movie,Love Actually,91851
24,34,캐롤,Movie,Carol,101962
25,35,장고: 분노의 추적자,Movie,Django Unchained,87311
26,36,가려진 시간,Movie,,141259
27,37,이터널 선샤인,Movie,Eternal Sunshine of the Spotless Mind,38444
28,38,라라랜드,Movie,La La Land,134963
29,39,애비규환,Movie,,198430
30,46,크루즈 패밀리: 뉴 에이지,Movie,The Croods: A New Age,107992
31,47,그녀,Movie,Her,101950
32,48,그래비티,Movie,Gravity,47370
33,49,50가지 그림자: 해방,Movie,Fifty Shades Freed,154598
34,50,랑종,Movie,ร่างทรง,204496
35,51,비바리움,Movie,Vivarium,187294
36,52,칠드런 액트,Movie,The Children Act,162294
37,53,부서져 흩어지는 모습을 보여줄게,Movie,砕け散るところを見せてあげる,
38,54,용쟁호투,Movie,Enter the Dragon,10182
39,59,로맨틱 홀리데이,Movie,The Holiday,64126
40,60,에이리언: 커버넌트,Movie,Alien: Covenant,99715
41,61,신들의 봉우리,Movie,Le Sommet des dieux,
42,62,아이 필 프리티,Movie,,168017
43,63,인터스텔라,Movie,Interstellar,149545
44,65,미드 90,Movie,mid90s,163786
45,66,서치,Movie,Searching,172425
46,67,레드 노티스,Movie,Red Notice,191543
47,71,위대한 개츠비,Movie,The Great Gatsby,88461
48,74,셔터 아일랜드,Movie,Shutter Island,69689
49,75,처음 만나는 자유,Movie,"Girl, Interrupted",28795
50,76,디스트릭트 9,Movie,District 9,64129
51,77,와일드라이프,Movie,,154257
52,79,싱크홀,Movie,,188472
53,81,세븐틴 어게인,Movie,17 Again,52517
54,82,인디아나 존스: 레이더스,Movie,Raiders of the Lost Ark,10033
